domain,subject,component_rank,component_label,is_largest_component,voxel_volume,physical_volume_mm3,centroid_i,centroid_j,centroid_k,centroid_world_x,centroid_world_y,centroid_world_z,centroid_distance_to_largest_mm,minimum_distance_to_largest_mm,bbox_i0,bbox_j0,bbox_k0,bbox_i1_exclusive,bbox_j1_exclusive,bbox_k1_exclusive,occupied_slices,average_image_intensity,brain_intensity_zscore,locally_brain_like,expert_overlap_voxels,expert_overlap_fraction
Mouse,POLYIC_20190524_polyic___E9_P1_1,1,1,1,116991,467.96468337430576,89.15878144472651,110.03015616585891,18.34165876007556,-0.025902729539062364,-1.0641495784713513,-1.9298890317618485,0.0,0.0,38,62,0,138,147,36,36,29.69415855407715,0.047047940521876046,1,114633,0.9798446034310332
Mouse,POLYIC_20190524_polyic___E9_P1_1,2,2,0,1928,7.712011261940334,95.79253112033194,28.689834024896264,12.227178423236515,-0.6892777069846616,7.069959193763411,-4.375430442963568,8.519651675576295,3.6878180835412824,79,22,9,113,40,17,8,23.956605911254883,-0.9626355224554656,1,0,0.0
Mouse,POLYIC_20190524_polyic___E9_P1_1,3,3,0,102,0.4080005958080467,105.2843137254902,118.83333333333333,2.107843137254902,-1.638455981644345,-1.9442643589257607,-8.42345208023563,6.748428786180806,0.8000011444091797,100,115,1,111,125,4,3,17.25881004333496,-2.14130073865995,0,0,0.0
Mouse,POLYIC_20190531_polyic_m__E3_P1,1,1,1,111660,446.64011979818673,90.24946265448683,113.42862260433459,15.344832527315063,0.9889235896105664,-2.1565562450086286,-1.533415751189331,0.0,0.0,39,75,0,140,147,36,36,28.576887130737305,0.06254078919997681,1,110215,0.9870589288912771
Mouse,POLYIC_20190531_polyic_m__E3_P1_1,1,1,1,104958,419.8321126077206,90.8110291735742,122.3626498218335,15.04379847176966,0.7366112380138912,-2.112678948222136,-0.13790044546733782,0.0,0.0,41,90,0,140,155,36,36,28.217124938964844,0.06603257054146605,1,103748,0.9884715791078336
Mouse,POLYIC_20190531_polyic_m__E3_P1_10,1,1,1,107990,431.96005149364595,95.91187146958052,110.3301231595518,15.753384572645615,0.6854125941553253,-3.190098379313957,5.58850082551668,0.0,0.0,46,77,0,146,145,37,37,20.485443115234375,0.07208469625930286,1,106968,0.9905361607556256
Mouse,POLYIC_20190531_polyic_m__E3_P1_10,2,2,0,552,2.208000263214118,99.30978260869566,27.07608695652174,11.378623188405797,0.3456214751805291,5.135360052508556,3.83885631841747,8.514104298501467,4.833218463924853,90,22,8,112,35,16,8,14.547603607177734,-1.3772152723747295,0,0,0.0
Mouse,POLYIC_20190531_polyic_m__E3_P1_10,3,3,0,42,0.16800002002716113,97.71428571428571,42.285714285714285,10.357142857142858,0.5051711669990002,3.6144100678090183,3.4302166134059586,7.1408691991435935,4.029888422595153,94,40,10,101,45,12,2,15.070320129394531,-1.249631318947663,0,0,0.0
Mouse,POLYIC_20190531_polyic_m__E3_P1_11,1,1,1,108139,432.5561160205634,88.2331721210664,121.67753539426108,14.669203525092705,1.0498420649850235,-3.2386034165459474,-2.4260391215365553,0.0,0.0,38,87,0,137,155,35,35,28.147756576538086,0.08797138955764619,1,107077,0.9901793062632352
Mouse,POLYIC_20190531_polyic_m__E3_P1_11,2,2,0,30,0.12000003218650906,55.3,101.5,2.0,4.343159326165915,-1.2206914626694125,-7.493658674451325,6.371708967731806,0.5830951981733254,53,97,2,59,105,3,1,20.66082763671875,-1.2939010067077177,0,0,0.0
Mouse,POLYIC_20190531_polyic_m__E3_P1_11,3,3,0,6,0.02400000643730181,117.5,98.0,10.0,-1.876840766519308,-0.8707914704592046,-4.2936469741734715,4.202376101622078,0.22360680108197992,117,97,10,119,100,11,1,33.33811950683594,1.04596355398584,0,0,0.0
Mouse,POLYIC_20190531_polyic_m__E3_P1_12,1,1,1,106811,427.24360528122173,96.96022881538418,121.0786623100617,14.701556955744259,0.5805472941089764,-3.411288113381234,-2.0301187233503146,0.0,0.0,47,87,0,146,155,35,35,27.967559814453125,0.06157814379524775,1,105489,0.9876229976313301
